t,epsilon,error_raw,error_norm,stim_current,stim_freq
115,0.05,3.118352912693215,0.8051552598972141,0.5959507344642688,6.004670952528732
116,0.05,3.1227575506168748,0.8062925325188414,0.5959859979565202,6.004270205117759
117,0.05,3.1272160898892847,0.8074437224088717,0.5960202141832892,6.003890210986466
118,0.05,3.1317418334765166,0.8086122643783753,0.5960534546610933,6.0035299516241105
119,0.05,3.136338661050015,0.8097991601542117,0.5960857874784538,6.00318845959332
120,0.05,3.1410108309291327,0.81100550922971,0.5961172776810908,6.002864816190213
121,0.05,3.1457638453941557,0.8122327322875312,0.5961479885109675,6.002558150094633
122,0.05,3.1506045114049566,0.8134825868771568,0.59617798203372,6.002267635538201
123,0.05,3.1555352711742883,0.8147557035752082,0.5962073200727456,6.001992490902003
124,0.05,3.160557608201103,0.8160524654194679,0.5937871391353765,6.001610554579687
125,0.05,3.1656762324015024,0.8173740885050439,0.5939377812528451,6.00137002592494
126,0.05,3.1708946654978223,0.8187214821367336,0.5940817961394071,6.0011424285778965
127,0.05,3.176219005469503,0.820096220806058,0.5942195316241137,6.000927132440678
128,0.05,3.1816587107350633,0.8215007466661775,0.5943513190700749,6.0007235398458105
129,0.05,3.1872202531274603,0.8229367307371761,0.5944774733202218,6.0005310830571705
130,0.05,3.192909049868019,0.8244055717395855,0.5945982938998691,6.0003492231499695
131,0.05,3.1987326191964005,0.8259092108745393,0.594714068617505,6.0001774514051
132,0.05,3.2047017389351744,0.8274504309638586,0.594825075777444,6.000015289425659
133,0.05,3.210826521380457,0.8290318429911735,0.5949315808923209,5.999862283858125
134,0.05,3.2171177536601068,0.8306562321809206,0.595033837270667,5.99971800508818
135,0.05,3.2235859171781622,0.8323263048199856,0.5951320867616736,5.99958204618831
136,0.05,3.2301946700266493,0.8340326774680783,0.5952265443054566,5.999454005760761
137,0.05,3.2369466308988937,0.8357760262689081,0.5953174136747833,5.999333502057322
138,0.05,3.2438444805025903,0.8375570433782255,0.5954048882312414,5.9992201721946525
139,0.05,3.2508909680490747,0.839376438639345,0.5954891515847777,5.999113671350018
140,0.05,3.2580888957616287,0.8412349355832067,0.595570378177868,5.999013671954845
141,0.05,3.2654411397672765,0.8431332768226152,0.5966748474327789,5.997857661476235
142,0.05,3.2729506279625147,0.845072218337195,0.5966991840759007,5.997822857417185
143,0.05,3.2806208334678937,0.8470526568828165,0.5967235245647947,5.997791014239014
144,0.05,3.2884557535003656,0.8490756245364586,0.5967478858057789,5.997762000996287
145,0.05,3.296459510283331,0.8511421856516266,0.5967722842794595,5.997735693710442
146,0.05,3.3046363567469323,0.8532534383301614,0.5967967360545288,5.997711975013961
147,0.05,3.312990674773375,0.8554105139691836,0.5968212568018496,5.997690733813309
148,0.05,3.3215233262746313,0.8576136351134074,0.5968458613895884,5.997671864550475
149,0.05,3.330235812537998,0.859863189393546,0.5968705639921139,5.997655266994956
150,0.05,3.3391320904090813,0.8621601984627421,0.5979379436860031,5.997598258200189
151,0.05,3.3482161989993298,0.8645057052150869,0.5979107550333539,5.997588053821831
152,0.05,3.357492259197164,0.8669007736593954,0.5978863110825751,5.9975797449316275
153,0.05,3.3669644591591386,0.8693464851730404,0.5978644942687315,5.997573256425331
154,0.05,3.376639317960853,0.8718445229741036,0.5978451930937108,5.997568517142479
155,0.05,3.386522860990142,0.8743964428110343,0.5978283018240798,5.997565459670409
156,0.05,3.39662628788754,0.877005136418584,0.5978137212663258,5.997564021220338
157,0.05,3.406962598218703,0.8796739602701725,0.5964666416415387,5.99921072724669
158,0.05,3.4175381074704116,0.8824045450174745,0.5965231452204399,5.999130026545333
159,0.05,3.428359294826195,0.8851985635784837,0.5965783596043793,5.9990548968630275
160,0.05,3.439420891416209,0.8880546555368564,0.5966323732948875,5.998985083690602
161,0.05,3.4507079070340456,0.8909689504379407,0.5966852709167438,5.998920345792673
162,0.05,3.462221897123206,0.8939418498955216,0.5967371338686893,5.9988604550008215
163,0.05,3.4739674053319383,0.8969745270745325,0.5967880401184823,5.998805195194008
